GM,TSLA,YNDX
25.817249,240.240005,26.450001
26.365538,251.419998,26.98
26.826418,255.210007,27.049999
26.81847,260.619995,27.01
25.245119,259.570007,26.17
25.570915,259.279999,26.18
24.657104,257.01001,25.559999
24.069077,236.910004,24.440001
23.671774,224.589996,25.08
23.926052,227.059998,25.32
23.592312,229.699997,25.440001
23.790958,226.350006,25.790001
24.029348,227.479996,26.309999
24.108812,230.470001,26.41
24.506123,235.339996,27.42
24.879593,231.100006,26.139999
24.577642,235.289993,27.6
23.870426,235.240005,27.780001
23.90221,221.669998,27.440001
24.768347,242.770004,28.58
24.410765,238.100006,28.370001
24.458448,238.660004,28.02
24.951113,241.699997,28.620001
24.776293,242.589996,27.809999
24.490231,238.929993,27.77
24.418715,230.970001,27.200001
24.927271,241.220001,26.459999
25.102089,240.199997,26.549999
24.728617,241.929993,26.790001
24.911379,251.080002,26.389999
24.967005,249.100006,26.620001
25.149763,251.699997,25.98
25.261015,258.679993,26.450001
25.674217,253.979996,26.120001
25.642433,257.700012,25.860001
25.547079,247.740005,25.719999
25.531183,248.710007,26.15
25.531183,242.779999,26.67
25.578863,246.720001,26.469999
25.610645,248.089996,26.040001
25.483511,248.440002,26.110001
26.564188,244.520004,24.92
26.174828,231.639999,23.98
26.429106,231.429993,23.74
26.731062,229.300003,23.58
26.294024,228.279999,22.290001
26.961502,223.710007,21.91
26.199881,214.360001,19.43
26.3041,216.889999,20.110001
25.630663,209.839996,19.139999
25.807041,208.880005,18.959999
25.309978,207,19.309999
24.853003,204.039993,17.68
24.636547,197.809998,16.82
24.973261,205.820007,17.299999
25.45429,218.259995,18.09
26.3041,219.289993,18
26.640818,222.600006,18
26.905384,220.970001,17.98
26.801167,222.259995,17.66
27.04167,227.820007,18.16
27.739159,225.710007,18.07
28.132004,222.229996,18.4
27.987682,222.410004,17.959999
27.93157,219.309998,18.370001
27.522697,210.089996,17.41
27.939589,211.279999,17.530001
28.733286,210.949997,17.370001
29.021896,210.619995,18.42
28.532856,206.660004,18.24
28.733286,202.210007,17.66
28.260275,204.25,17.68
27.498652,192.690002,18.4
26.801167,191.869995,17.719999
27.001591,193.070007,17.969999
27.202015,191.929993,16.41
27.169947,196.570007,16.51
27.113827,201.619995,17.459999
27.057713,201.289993,17.190001
27.01762,206.550003,16.25
26.793142,205.979996,16.209999
26.328152,199.369995,15.41
26.5847,205.199997,15.44
26.151772,203.600006,14.89
26.544609,210.940002,14.91
27.2421,218.360001,15.63
28.725264,218.550003,15.42
29.061977,220.990005,16.24
28.861555,217.360001,16.120001
28.861555,217.479996,15.87
30.080156,216.289993,15.73
30.200409,212.800003,16
30.481005,202.880005,16.41
30.160328,203.770004,17
29.855675,204.350006,16.65
29.81559,204.460007,16.85
30.07214,211.710007,16.870001
30.18438,217.110001,17.01
